id,comuna,sexo,edad,P1,P1_other,P2_1,P2_2,P2_3,P2_4,P2_5,P2_6,P3a,P3b,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P4_11,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P6,P7a,P7b,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P9_1,P9_2,P9_3,P9_4,P10,P11a,P11b,P12,P13,P14,P15_1,P15_2,P15_3,P15_4,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_7,P17_8,P17_9,eduentre,trabajo,estudio,edujefe,ocujefe,bienes_1,bienes_2,bienes_3,bienes_4,bienes_5,bienes_6,bienes_7,bienes_8,bienes_9,bienes_10,nedad,CUOTA,REGION,regiones,zonas,NSE,TNSE,NSE2,POND
1,Cerro Navia,Hombre,22,Violencia,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Problemas psicológicos,El machismo de la sociedad chilena,Algo aceptable,Bastante aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,No sabe,Acuerdo,Acuerdo,Acuerdo,Desacuerdo,No,Noticias,No sabe,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por el lazo emocional con la persona agresora,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,No responde,Un problema privado que debe ser solucionado por la pareja,Sí conoce,Sí,No,No,No,Frecuente,Frecuente,Poco frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Poco frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Universitaria completa,No,No,Media completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,13,Santiago,RM,D,Bajo,D+E,1.870743815
2,Concepción,Mujer,19,Falta de educación de calidad,empty,Algo violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Celos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Acuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,No,Programas juveniles,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema privado que debe ser solucionado por la pareja,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Poco frecuente,Nada frecuente,Frecuente,Poco frecuente,Poco frecuente,Nada frecuente,Frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,Si,Media completa,Trabajo menores ocasionales e informales,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,8,Regiones,Sur,D,Bajo,D+E,3.064232385
3,La Pintana,Mujer,15,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Alcohol y drogas,Celos,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Acuerdo,Acuerdo,Acuerdo,Sí,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por el lazo emocional con la persona agresora,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,No sabe,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,No,Sí,Sí,No sabe,Muy frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Frecuente,Sí le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),Si,No,Universitaria incompleta (1 a 3 años de estudio),Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,13,Santiago,RM,C2,Alto,C2,0.504773072
4,Temuco,Hombre,23,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Poco violento,Poco violento,El machismo de la sociedad chilena,No sabe,Bastante aceptable,Nada aceptable,Bastante aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Acuerdo,Desacuerdo,Desacuerdo,Acuerdo,Acuerdo,Desacuerdo,No responde,Teleseries,No sabe,De acuerdo,En desacuerdo,En desacuerdo,No responde,En desacuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí,Por miedo,No sabe,Irías a alguna organización de ayuda (iglesia ONG Municipio),No responde,Sí conoce,No,No,Sí,Sí,Frecuente,Poco frecuente,Frecuente,Frecuente,Frecuente,Poco frecuente,Poco frecuente,Frecuente,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No responde,No le ha pasado,Media incompleta,No,Si,Media completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,9,Regiones,Sur,C3,Medio,C3,1.072540902
5,Ovalle,Mujer,29,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Alcohol y drogas,Historia de violencia en la familia,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Noticias,Programas de reportajes,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por falta de dinero,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Poco frecuente,Nada frecuente,Poco frecuente,Nada frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Media completa,Si,No,Basica completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,M 25-29,4,Regiones,Norte,D,Bajo,D+E,0.725894492
6,Recoleta,Hombre,23,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Celos,Infidelidad,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Acuerdo,Acuerdo,Sí,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por el lazo emocional con la persona agresora,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,No responde,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,No,No,No,No,Frecuente,Muy frecuente,Muy frecuente,Frecuente,Frecuente,Frecuente,Muy frecuente,Muy frecuente,No le ha pasado,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Postgrado magister doctorado,Si,Si,Postgrado magister doctorado,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,13,Santiago,RM,ABC1,Alto,ABC1,1.169301143
7,Temuco,Hombre,24,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,El machismo de la sociedad chilena,Historia de violencia en la familia,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Bastante aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Noticias,Dibujos animados,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,No es para denunciar a Carabineros,No es para denunciar a Carabineros,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Muy frecuente,Poco frecuente,Poco frecuente,Nada frecuente,Nada frecuente,Poco frecuente,Poco frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Universitaria completa,Si,No,Media completa,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,9,Regiones,Sur,C3,Medio,C3,1.072540902
8,La Pintana,Mujer,18,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Poco violento,Poco violento,Alcohol y drogas,Celos,Nada aceptable,Algo aceptable,Bastante aceptable,Bastante aceptable,Algo aceptable,Algo aceptable,Bastante aceptable,Algo aceptable,Bastante aceptable,Algo aceptable,Nada aceptable,Acuerdo,Acuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,Sí,Ninguno,No sabe,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por vergüenza,Buscarías apoyo psicológico o de expertos en el tema,Un problema privado que debe ser solucionado por la pareja,Sí conoce,No,No,Sí,Sí,Poco frecuente,Frecuente,Frecuente,Frecuente,Poco frecuente,Poco frecuente,Frecuente,Frecuente,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Básica incompleta,Si,Si,Media completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,13,Santiago,RM,D,Bajo,D+E,1.100881022
9,Angol,Hombre,17,Violencia,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Problemas psicológicos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Acuerdo,Acuerdo,Acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Acuerdo,Sí,Programas juveniles,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por dependencia económica,Buscarías apoyo psicológico o de expertos en el tema,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Frecuente,Poco frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Universitaria completa,Si,No,Universitaria completa,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,9,Regiones,Sur,ABC1,Alto,ABC1,0.689552454
10,La Serena,Mujer,19,Drogadicción,empty,Poco violento,Poco violento,Muy violento,Muy violento,Algo violento,Algo violento,Celos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Sí,Noticias,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por el lazo emocional con la persona agresora,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Frecuente,Poco frecuente,Frecuente,Poco frecuente,Frecuente,Frecuente,Frecuente,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,Si,Universitaria completa,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,M 15-19,4,Regiones,Norte,C2,Alto,C2,0.271181734
11,La Pintana,Hombre,18,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Muy violento,Celos,El machismo de la sociedad chilena,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Acuerdo,Desacuerdo,No,Noticias,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Frecuente,Frecuente,Poco frecuente,Frecuente,Frecuente,Poco frecuente,Frecuente,Frecuente,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Media completa,No,No,Basica incompleta,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,13,Santiago,RM,E,Bajo,D+E,1.229894278
12,Puerto Montt,Mujer,20,Violencia,empty,Muy violento,Muy violento,Muy violento,Muy violento,Nada violento,Algo violento,Celos,Infidelidad,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,Desacuerdo,No,Noticias,Dibujos animados,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por los hijos/as,Denunciarías en carabineros,Un problema privado que debe ser solucionado por la pareja,Sí conoce,No,No,No,No,Poco frecuente,Frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Muy frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Media completa,No,No,Basica completa,Trabajo menores ocasionales e informales,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,M 20-24,10,Regiones,Sur,E,Bajo,D+E,4.546133423
13,Nueva Imperial,Hombre,18,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Celos,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,No,Ninguno,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Poco frecuente,Frecuente,Poco frecuente,Frecuente,Poco frecuente,Poco frecuente,Frecuente,Poco frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,Si,Postgrado magister doctorado,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,9,Regiones,Sur,ABC1,Alto,ABC1,0.689552454
14,San Bernardo,Hombre,21,Drogadicción,empty,Algo violento,Poco violento,Algo violento,Muy violento,Algo violento,Algo violento,Infidelidad,No sabe,Algo aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Algo aceptable,Bastante aceptable,Bastante aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,Acuerdo,Acuerdo,Sí,Teleseries,Programas de farándula,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por vergüenza,Buscarías ayuda con gente de confianza,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Nada frecuente,Poco frecuente,Poco frecuente,Frecuente,Poco frecuente,Frecuente,Poco frecuente,Frecuente,Sí le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,Sí le ha pasado,Sí le ha pasado,Media completa,Si,No,Basica incompleta,Empleado administrativo medio y bajo vendedor secretaria técnico especializado profesor,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,H 20-24,13,Santiago,RM,C3,Medio,C3,1.195711461
15,La Florida,Hombre,15,Violencia,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Algo violento,Celos,Historia de violencia en la familia,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Acuerdo,Acuerdo,Acuerdo,Acuerdo,Desacuerdo,No,Noticias,No sabe,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Buscarías apoyo psicológico o de expertos en el tema,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,No conoce,#NULL!,#NULL!,#NULL!,#NULL!,Muy frecuente,Muy frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Poco frecuente,Muy frecuente,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Media incompleta,No,Si,Universitaria completa,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,15-19,H 15-19,13,Santiago,RM,ABC1,Alto,ABC1,0.768740633
16,Iquique,Mujer,27,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Algo violento,Poco violento,Alcohol y drogas,El machismo de la sociedad chilena,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Algo aceptable,Bastante aceptable,Algo aceptable,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Acuerdo,Acuerdo,No responde,Ni de acuerdo ni en desacuerdo,No responde,Acuerdo,Sí,Noticias,Programas de farándula,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por los hijos/as,Por dependencia económica,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,Sí,Sí,Sí,Frecuente,Muy frecuente,Poco frecuente,Poco frecuente,Frecuente,Muy frecuente,Frecuente,Frecuente,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Universitaria completa,No,No,Media completa,Obrero calificado capataz junior microempresario,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,M 25-29,1,Regiones,Norte,C3,Medio,C3,0.44604302
17,Pudahuel,Mujer,22,Falta de educación de calidad,empty,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Muy violento,Celos,Problemas psicológicos,Nada aceptable,Algo aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Bastante aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,No,Programas juveniles,No sabe,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por considerar que lo que pasó no es tan grave y que las cosas cambiarán,Denunciarías en carabineros,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,No,No,No,Poco frecuente,Frecuente,Frecuente,Muy frecuente,Frecuente,Frecuente,Poco frecuente,Frecuente,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,Universitaria incompleta (1 a 3 años de estudio),No,Si,Universitaria completa,Ejecutivo medio (sub / gerente) gerente general empresa media o pequeña profesional carrera tradicional,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20-24,M 20-24,13,Santiago,RM,ABC1,Alto,ABC1,0.689841254
18,Talca,Mujer,29,Drogadicción,empty,Muy violento,Muy violento,Muy violento,Muy violento,Poco violento,Poco violento,Celos,No sabe,Nada aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Bastante aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Algo aceptable,Nada aceptable,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Acuerdo,Desacuerdo,Sí,Teleseries,Dibujos animados,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,No es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,Sí es para denunciar a Carabineros,No,Por miedo,Por vergüenza,No responde,Un problema social que debe ser solucionado con ayuda de amigos familiares y las instituciones,Sí conoce,Sí,Sí,Sí,Sí,Poco frecuente,Muy frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Nada frecuente,Frecuente,Frecuente,Sí le ha pasado,Sí le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,No le ha pasado,Sí le ha pasado,No le ha pasado,Media completa,Si,No,Media completa,Oficio menor obrero no calificado jornalero servicio doméstico con contrato,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25-29,M 25-29,7,Regiones,Centro,D,Bajo,D+E,2.865212413
